radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188744193,65,132.7203768,33.8647045,0,22,1,1634955530,1751178674,
LTE,440,11,39937,188744194,186,132.7146153,33.8597168,0,18,1,1634898242,1751178673,
LTE,440,11,39937,188744195,193,132.7121900,33.8620552,0,21,1,1634963053,1751178674,
LTE,440,11,39937,188744199,152,132.7220869,33.8535942,0,6,1,1622895422,1751184584,
LTE,440,11,39937,188744200,273,132.7126694,33.8500604,0,60,1,1634869668,1751184584,
LTE,440,11,39937,188744201,58,132.7129796,33.8569879,0,106,1,1634898242,1751184584,
LTE,440,11,39937,188744449,244,132.7014838,33.8532247,0,4,1,1634957846,1751184584,
LTE,440,11,39937,188744450,108,132.7077039,33.8441182,0,79,1,1634869668,1751184584,
LTE,440,11,39937,188744451,128,132.6533564,33.8396466,0,50,1,1635467331,1751184584,
LTE,440,11,39937,188744452,369,132.7230134,33.8592377,0,38,1,1639047052,1751184584,
LTE,440,11,39937,188744453,59,132.7246204,33.8549983,0,69,1,1639047052,1751184583,
LTE,440,11,39937,188744454,343,132.7186455,33.8570748,0,65,1,1639047052,1751184584,
LTE,440,11,39937,188744455,345,132.7051704,33.8950441,0,172,1,1646625570,1751178672,
LTE,440,11,39937,188744456,94,132.6937224,33.8844823,0,175,1,1646625570,1751178672,
LTE,440,11,39937,188744458,209,132.7262030,33.8675360,0,19,1,1653295549,1751184583,
LTE,440,11,39937,188744459,94,132.7216754,33.8661534,0,27,1,1653295549,1751184583,
LTE,440,11,39937,188744460,12,132.7201172,33.8700746,0,40,1,1653295549,1751184583,
LTE,440,11,39937,188744706,347,132.8122017,33.7933079,0,74,1,1630202961,1737296157,
LTE,440,11,39937,188744707,214,132.8028307,33.7966827,0,7,1,1635556294,1737296156,
LTE,440,11,39937,188744709,152,132.8139293,33.8135367,0,24,1,1635467371,1737296150,
LTE,440,11,39937,188744710,130,132.8094649,33.8148974,0,39,1,1633245400,1737296150,
LTE,440,11,39937,188744711,192,132.8004302,33.8194764,0,31,1,1636680759,1737296151,
LTE,440,11,39937,188744712,373,132.8116229,33.7711792,0,29,1,1635558474,1737296151,
LTE,440,11,39937,188744713,104,132.7910239,33.8141782,0,26,1,1633245400,1737296151,
LTE,440,11,39937,188744714,212,132.8351731,33.7938713,0,37,1,1616214533,1733648175,
LTE,440,11,39937,188744715,60,132.8252630,33.7837015,0,43,1,1636679719,1737296157,
LTE,440,11,39937,188744716,85,132.8187114,33.7896015,0,63,1,1622270611,1737296157,
LTE,440,11,39937,188745218,285,132.8512272,33.8046008,0,18,1,1634978552,1737296149,
LTE,440,11,39937,188745220,277,132.7983761,33.7964588,0,15,1,1635556670,1737296156,
LTE,440,11,39937,188745221,278,132.8038056,33.7888335,0,55,1,1633245399,1737296157,
LTE,440,11,39937,188745223,156,132.8231875,33.8086299,0,86,1,1616223646,1737296150,
LTE,440,11,39937,188745224,251,132.8283580,33.7990921,0,30,1,1616223646,1735265751,
LTE,440,11,39937,188745226,18,132.7946234,33.8251812,0,11,1,1634959117,1737296151,
LTE,440,11,39937,188745227,146,132.7905169,33.8203199,0,33,1,1634959117,1733648176,
LTE,440,11,39937,188745228,43,132.7863892,33.8251845,0,21,1,1634959117,1737296151,
LTE,440,11,39937,188745473,36,132.7640346,33.9002455,0,17,1,1634957846,1751190128,
LTE,440,11,39937,188745474,277,132.7576658,33.8988185,0,171,1,1616296659,1751190128,
LTE,440,11,39937,188745475,143,132.7621524,33.9032962,0,20,1,1634957846,1751190128,
LTE,440,11,39937,188745476,123,132.7560136,33.9063710,0,64,1,1616296659,1751190128,
LTE,440,11,39937,188745477,259,132.7510870,33.9030364,0,5,1,1622895422,1751178672,
LTE,440,11,39937,188745478,86,132.7518184,33.9106845,0,24,1,1622895422,1751178672,
LTE,440,11,39937,188745479,201,132.7519577,33.8757629,0,12,1,1658571347,1751190127,
LTE,440,11,39937,188745480,349,132.7523827,33.8738653,0,34,1,1658539703,1751190127,
LTE,440,11,39937,188745481,107,132.7498822,33.8739254,0,11,1,1658539703,1751190127,
LTE,440,11,39937,188745482,284,132.7823780,33.9083639,0,43,1,1705398862,1751190128,
LTE,440,11,39937,188745729,53,132.7323788,33.8948217,0,15,1,1629552002,1751178672,
LTE,440,11,39937,188745730,238,132.7284761,33.8887955,0,18,1,1622895422,1751178672,
LTE,440,11,39937,188745731,84,132.7281690,33.8926627,0,2,1,1634957846,1751178672,
LTE,440,11,39937,188745732,72,132.7372776,33.8951157,0,32,1,1634957846,1751190128,
LTE,440,11,39937,188745733,344,132.7386343,33.8861851,0,26,1,1622895422,1751190127,
LTE,440,11,39937,188745734,55,132.7263605,33.8848814,0,7,1,1634957846,1751178672,
LTE,440,11,39937,188745735,201,132.7526658,33.9119890,0,37,1,1616296659,1751190129,
LTE,440,11,39937,188745736,89,132.7274009,33.8977520,0,11,1,1634957846,1751178672,
LTE,440,11,39937,188745737,76,132.7224712,33.9033617,0,41,1,1634957846,1751178672,
LTE,440,11,39937,188745738,70,132.7435876,33.8927977,0,15,1,1622895422,1751190127,
LTE,440,11,39937,188745739,42,132.7512876,33.8879412,0,23,1,1616296659,1751190127,
LTE,440,11,39937,188745740,278,132.7439756,33.8912666,0,4,1,1622895422,1751190127,
LTE,440,11,39937,188746243,131,132.7586105,33.8186849,0,10,1,1632811651,1750573799,
LTE,440,11,39937,188746757,220,132.8181456,33.7608424,0,3,1,1634968219,1735265751,
LTE,440,11,39937,188747522,79,132.7955152,33.8278242,0,17,1,1634959117,1737296151,
LTE,440,11,39937,188747530,315,132.7555299,33.8403976,0,49,1,1622806860,1734249105,
LTE,440,11,39937,188747531,290,132.7566669,33.8390414,0,18,1,1622806860,1732090535,
LTE,440,11,39937,188747532,289,132.7514364,33.8388415,0,27,1,1622806860,1737296154,
LTE,440,11,39937,188748035,155,132.7581996,33.8738876,0,19,1,1616296659,1751190127,
LTE,440,11,39937,188748289,87,132.7656020,33.9317136,0,101,1,1616296617,1751178671,
LTE,440,11,39937,188748291,167,132.7610502,33.9263272,0,177,1,1616296617,1751178671,
LTE,440,11,39937,188748545,98,132.7548747,33.8458398,0,135,1,1633172663,1750580977,
LTE,440,11,39937,188748546,207,132.7508291,33.8415164,0,101,1,1622805712,1750590365,
