radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
LTE,440,11,39937,188744193,65,132.7203768,33.8647045,0,10,1,1634955530,1723954182,
LTE,440,11,39937,188744194,186,132.7146153,33.8597168,0,6,1,1634898242,1723954182,
LTE,440,11,39937,188744195,193,132.7121900,33.8620552,0,9,1,1634963053,1723954182,
LTE,440,11,39937,188744196,80,132.7362347,33.8503527,0,90,1,1622895422,1720515467,
LTE,440,11,39937,188744197,111,132.7340951,33.8485953,0,5,1,1634968219,1718415149,
LTE,440,11,39937,188744198,358,132.7310864,33.8512789,0,82,1,1622895422,1720515467,
LTE,440,11,39937,188744199,59,132.7220869,33.8535942,0,2,1,1622895422,1718415146,
LTE,440,11,39937,188744200,249,132.7126694,33.8500604,0,38,1,1634869668,1732090533,
LTE,440,11,39937,188744201,154,132.7129796,33.8569879,0,80,1,1634898242,1732090533,
LTE,440,11,39937,188744450,42,132.7077039,33.8441182,0,28,1,1634869668,1732090532,
LTE,440,11,39937,188744452,369,132.7230134,33.8592377,0,26,1,1639047052,1732090533,
LTE,440,11,39937,188744453,371,132.7246204,33.8549983,0,59,1,1639047052,1720515468,
LTE,440,11,39937,188744454,271,132.7186455,33.8570748,0,49,1,1639047052,1732090533,
LTE,440,11,39937,188744455,130,132.7051704,33.8950441,0,129,1,1646625570,1731241907,
LTE,440,11,39937,188744456,272,132.6937224,33.8844823,0,164,1,1646625570,1720741558,
LTE,440,11,39937,188744458,209,132.7262030,33.8675360,0,8,1,1653295549,1721019923,
LTE,440,11,39937,188744459,94,132.7216754,33.8661534,0,1,1,1653295549,1721019923,
LTE,440,11,39937,188744706,347,132.8122017,33.7933079,0,74,1,1630202961,1737296157,
LTE,440,11,39937,188744707,214,132.8028307,33.7966827,0,7,1,1635556294,1737296156,
LTE,440,11,39937,188744709,152,132.8139293,33.8135367,0,24,1,1635467371,1737296150,
LTE,440,11,39937,188744710,130,132.8094649,33.8148974,0,39,1,1633245400,1737296150,
LTE,440,11,39937,188744711,192,132.8004302,33.8194764,0,31,1,1636680759,1737296151,
LTE,440,11,39937,188744712,373,132.8116229,33.7711792,0,29,1,1635558474,1737296151,
LTE,440,11,39937,188744713,104,132.7910239,33.8141782,0,26,1,1633245400,1737296151,
LTE,440,11,39937,188744714,212,132.8351731,33.7938713,0,37,1,1616214533,1733648175,
LTE,440,11,39937,188744715,60,132.8252630,33.7837015,0,43,1,1636679719,1737296157,
LTE,440,11,39937,188744716,85,132.8187114,33.7896015,0,63,1,1622270611,1737296157,
LTE,440,11,39937,188744961,279,132.8209612,33.7914409,0,17,1,1634968219,1722645688,
LTE,440,11,39937,188744962,208,132.7717006,33.8018757,0,25,1,1634968219,1722645691,
LTE,440,11,39937,188744963,374,132.7655832,33.8026434,0,27,1,1634968219,1722645691,
LTE,440,11,39937,188744964,10,132.7727945,33.8091621,0,14,1,1634968219,1721964419,
LTE,440,11,39937,188744965,228,132.8343830,33.7826460,0,5,1,1635553960,1722645691,
LTE,440,11,39937,188745218,285,132.8512272,33.8046008,0,18,1,1634978552,1737296149,
LTE,440,11,39937,188745220,277,132.7983761,33.7964588,0,15,1,1635556670,1737296156,
LTE,440,11,39937,188745221,278,132.8038056,33.7888335,0,55,1,1633245399,1737296157,
LTE,440,11,39937,188745223,156,132.8231875,33.8086299,0,86,1,1616223646,1737296150,
LTE,440,11,39937,188745224,251,132.8283580,33.7990921,0,30,1,1616223646,1735265751,
LTE,440,11,39937,188745225,157,132.8136048,33.7986927,0,8,1,1622270611,1722645692,
LTE,440,11,39937,188745226,18,132.7946234,33.8251812,0,11,1,1634959117,1737296151,
LTE,440,11,39937,188745227,146,132.7905169,33.8203199,0,33,1,1634959117,1733648176,
LTE,440,11,39937,188745228,43,132.7863892,33.8251845,0,21,1,1634959117,1737296151,
LTE,440,11,39937,188745473,42,132.7640346,33.9002455,0,15,1,1634957846,1734249107,
LTE,440,11,39937,188745474,289,132.7576658,33.8988185,0,99,1,1616296659,1734249107,
LTE,440,11,39937,188745475,239,132.7621524,33.9032962,0,4,1,1634957846,1734249104,
LTE,440,11,39937,188745476,75,132.7560136,33.9063710,0,39,1,1616296659,1734249107,
LTE,440,11,39937,188745479,201,132.7519577,33.8757629,0,9,1,1658571347,1734249104,
LTE,440,11,39937,188745480,199,132.7523827,33.8738653,0,28,1,1658539703,1734249104,
LTE,440,11,39937,188745481,107,132.7498822,33.8739254,0,5,1,1658539703,1721019923,
LTE,440,11,39937,188745735,0,132.7526658,33.9119890,0,6,1,1616296659,1734249107,
LTE,440,11,39937,188745737,190,132.7224712,33.9033617,0,15,1,1634957846,1731241908,
LTE,440,11,39937,188745987,272,132.7916735,33.8102809,0,2,1,1635559251,1718415147,
LTE,440,11,39937,188745992,3,132.7972459,33.7968102,0,19,1,1693828802,1722645692,
LTE,440,11,39937,188745993,49,132.7891023,33.7968206,0,47,1,1692532873,1722645692,
LTE,440,11,39937,188746241,255,132.7749281,33.8142837,0,14,1,1634961374,1722645689,
LTE,440,11,39937,188746242,283,132.7613255,33.8121548,0,1,1,1634968219,1722645688,
LTE,440,11,39937,188746243,131,132.7586105,33.8186849,0,1,1,1632811651,1722064574,
LTE,440,11,39937,188746753,35,132.8312414,33.7802883,0,53,1,1616223646,1722645693,
LTE,440,11,39937,188746754,112,132.8379328,33.7764333,0,46,1,1633245439,1719445402,
LTE,440,11,39937,188746755,132,132.8252434,33.7782176,0,40,1,1636679175,1719445403,
LTE,440,11,39937,188746756,221,132.8169602,33.7782163,0,33,1,1622270611,1719445403,
LTE,440,11,39937,188746757,220,132.8181456,33.7608424,0,3,1,1634968219,1735265751,
LTE,440,11,39937,188746758,327,132.8088444,33.7803718,0,3,1,1622270611,1718418483,
LTE,440,11,39937,188747010,237,132.7581333,33.8040978,0,38,1,1635467331,1722645691,
LTE,440,11,39937,188747011,307,132.7490419,33.8030411,0,40,1,1622805712,1722645691,
LTE,440,11,39937,188747522,79,132.7955152,33.8278242,0,17,1,1634959117,1737296151,
LTE,440,11,39937,188747530,315,132.7555299,33.8403976,0,49,1,1622806860,1734249105,
LTE,440,11,39937,188747531,290,132.7566669,33.8390414,0,18,1,1622806860,1732090535,
LTE,440,11,39937,188747532,289,132.7514364,33.8388415,0,27,1,1622806860,1737296154,
LTE,440,11,39937,188748033,142,132.7643981,33.8754909,0,30,1,1634955530,1721019924,
LTE,440,11,39937,188748035,140,132.7581996,33.8738876,0,15,1,1616296659,1721019924,
LTE,440,11,39937,188748289,87,132.7656020,33.9317136,0,61,1,1616296617,1734263678,
LTE,440,11,39937,188748291,128,132.7610502,33.9263272,0,144,1,1616296617,1734249107,
LTE,440,11,39937,188748545,98,132.7548747,33.8458398,0,98,1,1633172663,1737296152,
LTE,440,11,39937,188748546,207,132.7508291,33.8415164,0,78,1,1622805712,1737296154,
LTE,440,11,39937,188748547,7,132.7506744,33.8459428,0,141,1,1622895422,1737296152,
LTE,440,11,39937,188748548,355,132.7423268,33.8373526,0,21,1,1622805712,1737296154,
LTE,440,11,39937,188748550,246,132.7373421,33.8373488,0,11,1,1633172663,1718415146,
LTE,440,11,39937,188748551,273,132.7536439,33.8541582,0,14,1,1632048548,1722057133,
LTE,440,11,39937,188748552,145,132.7532373,33.8515311,0,85,1,1633172663,1734249106,
LTE,440,11,39937,188748554,372,132.7460188,33.8435123,0,45,1,1649327129,1734249105,
LTE,440,11,39937,188748556,236,132.7445666,33.8405952,0,16,1,1649327129,1722064574,
LTE,440,11,39937,188748801,217,132.7467607,33.8479107,0,31,1,1622895422,1734249105,
LTE,440,11,39937,188748802,230,132.7438851,33.8491530,0,6,1,1622895422,1718415147,
LTE,440,11,39937,188748803,282,132.7460913,33.8527498,0,84,1,1616296659,1734249105,
LTE,440,11,39937,188748805,263,132.7454846,33.8548829,0,41,1,1654253573,1734249105,
LTE,440,11,39937,188748806,285,132.7414603,33.8568387,0,13,1,1654253573,1732090535,
LTE,440,11,39937,188749057,306,132.7821587,33.8137460,0,38,1,1633245400,1737296155,
LTE,440,11,39937,188749058,314,132.7847992,33.8095839,0,49,1,1633245400,1737296156,
LTE,440,11,39937,188749059,292,132.7769733,33.8134394,0,4,1,1634961374,1721964419,
LTE,440,11,39937,188749060,260,132.7896582,33.8145454,0,10,1,1636180329,1737296155,
LTE,440,11,39937,188749061,219,132.7480316,33.7733088,0,18,1,1634961374,1722645686,
LTE,440,11,39937,188749062,310,132.7731805,33.8204314,0,17,1,1634961374,1737296155,
LTE,440,11,39937,188749064,116,132.7859817,33.8194739,0,3,1,1684322606,1737296151,
LTE,440,11,39937,188749065,241,132.7816522,33.8196580,0,2,1,1683879683,1731212015,
LTE,440,11,39937,188749314,216,132.7617844,33.8476073,0,31,1,1633172663,1718415147,
LTE,440,11,39937,188749315,200,132.7648703,33.8513849,0,12,1,1634968219,1734249106,
LTE,440,11,39937,188749316,341,132.7603515,33.8523309,0,6,1,1649640689,1734249106,
LTE,440,11,39937,188749318,171,132.7583784,33.8509718,0,25,1,1649640689,1734249106,
LTE,440,11,39937,188749825,247,132.7815297,33.8249518,0,27,1,1622277705,1733648176,
LTE,440,11,39937,188749826,342,132.7830001,33.8219543,0,7,1,1633245400,1733648176,
LTE,440,11,39937,188749827,161,132.7794421,33.8210601,0,25,1,1622277705,1737296155,
LTE,440,11,39937,188749828,97,132.7702595,33.8337305,0,26,1,1650707517,1734249105,
LTE,440,11,39937,188749829,204,132.7698625,33.8319632,0,35,1,1650721872,1731212015,
LTE,440,11,39937,188749830,206,132.7669401,33.8302027,0,23,1,1650721872,1722645689,
LTE,440,11,39937,188749831,175,132.7778208,33.8414710,0,15,1,1622806860,1737296152,
LTE,440,11,39937,188749832,51,132.7727723,33.8408895,0,28,1,1622806860,1737296159,
LTE,440,11,39937,188749834,147,132.7698623,33.8378135,0,19,1,1622806860,1737296152,
LTE,440,11,39937,188749835,77,132.7697911,33.8368026,0,18,1,1622895422,1731212015,
LTE,440,11,39937,188749836,22,132.7680815,33.8373545,0,6,1,1694755587,1720517509,
LTE,440,11,39937,188750082,42,133.5661445,33.9847969,0,72,1,1613988126,1737368027,
LTE,440,11,39937,188750083,226,133.5598448,33.9885469,0,19,1,1613988126,1737296126,
LTE,440,11,39937,188750084,258,133.5588320,33.9963006,0,30,1,1619054426,1737296126,
LTE,440,11,39937,188750086,359,133.5554119,33.9944266,0,34,1,1619054426,1737296126,
LTE,440,11,39937,188750087,146,133.5606030,33.9873076,0,20,1,1622800259,1723787559,
LTE,440,11,39937,188750088,232,133.5587601,33.9820541,0,66,1,1622970617,1737368027,
LTE,440,11,39937,188750089,159,133.5540276,33.9843272,0,31,1,1622895463,1737368017,
LTE,440,11,39937,188750090,211,133.6041236,33.9978304,0,18,1,1686919425,1723794660,
LTE,440,11,39937,188750091,38,133.5995299,34.0010816,0,104,1,1683677910,1737368027,
LTE,440,11,39937,188750849,110,133.5211980,33.9712238,0,20,1,1614335779,1737296127,
LTE,440,11,39937,188750850,273,133.5271906,33.9690926,0,188,1,1614335779,1737368027,
LTE,440,11,39937,188750851,304,133.5158006,33.9690080,0,41,1,1614335779,1737296127,
LTE,440,11,39937,188751106,25,132.7511732,33.8663881,0,10,1,1616296659,1734249105,
LTE,440,11,39937,188751107,281,132.7516630,33.8699788,0,36,1,1616296659,1734249105,
LTE,440,11,39937,188751113,139,132.7527319,33.8550770,0,10,1,1632048548,1722057133,
LTE,440,11,39937,188751114,96,132.7508563,33.8646310,0,14,1,1627691352,1734249105,
LTE,440,11,39937,188751115,227,132.7492223,33.8611135,0,67,1,1627691352,1734249105,
LTE,440,11,39937,188751116,352,132.7505257,33.8655432,0,9,1,1622895422,1734249105,
LTE,440,11,39937,188751361,75,132.7831977,33.8074507,0,51,1,1633245400,1731212015,
LTE,440,11,39937,188751362,92,132.7869004,33.8003331,0,82,1,1633245400,1731212015,
LTE,440,11,39937,188751363,37,132.7819403,33.8001586,0,56,1,1634968219,1731212014,
LTE,440,11,39937,188751617,110,132.7340331,33.8458742,0,52,1,1633172663,1718415149,
LTE,440,11,39937,188751618,95,132.6873474,33.7728481,0,55,1,1633172663,1743127597,
LTE,440,11,39937,188752385,73,132.8042565,33.8163633,0,29,1,1635558474,1737296151,
LTE,440,11,39937,188752386,345,132.8077010,33.8066987,0,19,1,1633245400,1733648176,
LTE,440,11,39937,188752387,308,132.8012261,33.8046108,0,13,1,1633245400,1733648176,
LTE,440,11,39937,188752388,15,132.7799039,33.8363478,0,7,1,1622277705,1722064575,
LTE,440,11,39937,188752389,179,132.7820788,33.8305046,0,44,1,1622277705,1737296152,
LTE,440,11,39937,188752390,343,132.7771610,33.8347371,0,15,1,1622277705,1737296152,
LTE,440,11,39937,188752392,138,132.7370410,33.8603950,0,16,1,1635603122,1732090535,
